Name,Type,Lat,Lon
Biserica Ortodoxă „Ceauș Radu”,lacase_cult,44.4291385,26.1164966
Biserica Ortodoxă Dudești Cioplea II,lacase_cult,44.4158669,26.1487225
Biserica Ortodoxă Constantin Brâncoveanu Nouă,lacase_cult,44.3833142,26.1089983
Biserica,lacase_cult,46.5459803,24.5631543
Biserica,lacase_cult,46.5459044,24.5638565
Biserica Ortodoxă Liceul Carol I,lacase_cult,45.7983093,24.1389216
Biserica,lacase_cult,44.9410611,26.0462025
Mănăstirea catolică „Don Orione” Iași,lacase_cult,47.1759702,27.5317733
Biserica Gornet,lacase_cult,45.0776467,26.2608623
Biserica Catolică Săcărâmb,lacase_cult,45.9738928,23.0365944
Biserica Reformată Sângeorgiu de Mureș,lacase_cult,46.5772855,24.6056112
Biserica Bichigiu,lacase_cult,47.422453,24.3431229
Biserica Cuvioasa Parascheva,lacase_cult,47.3632808,24.39008
Biserica Romuli,lacase_cult,47.5407594,24.4342497
Biserica Dragomirești,lacase_cult,47.6665762,24.2960006
Biserica Săcel,lacase_cult,47.6387433,24.4306881
Biserica Sfântul Nicolae,lacase_cult,44.1439166,25.9684077
Biserica Nouă,lacase_cult,47.6582735,24.3169814
Biserica Suplai,lacase_cult,47.4363661,24.2591434
Biserica Agrieș,lacase_cult,47.3995893,24.1358818
Biserica ortodoxă,lacase_cult,46.2181312,24.35722
Biserica evanghelică,lacase_cult,46.217268,24.3566222
Biserica,lacase_cult,44.9440212,21.6144213
Biserica,lacase_cult,46.7611959,23.558158
Biserica Sf. Ioan Botezătorul - Bucium,lacase_cult,47.1300079,27.6209075
Biserica creștină adventistă de ziua a șaptea,lacase_cult,46.1609621,24.3581692
Biserica Baptistă Mediaș,lacase_cult,46.1598454,24.3586985
Biserica de lemn Grămești (1668) „Adormirea Maicii Domnului”,lacase_cult,45.1704627,24.0656876
Parohia Ortodoxă Sfântul Nicolae – Malaxa,lacase_cult,44.4333876,26.1905617
Biserica de lemn din Poienile de sub Munte,lacase_cult,47.8209727,24.4361106
Biserica cu Hramul Sfântul Ilie,lacase_cult,47.6545136,24.6622566
Biserica Ortodoxă,lacase_cult,46.829756,21.6785654
Biserica Cuvioasa Paraschiva,lacase_cult,45.3837471,27.0402001
Biserica,lacase_cult,44.9154761,26.0204649
Casa de rugaciuni Plopi,lacase_cult,44.2820406,24.9872702
Biserica,lacase_cult,44.9370548,26.0251313
Biserica Adormirea Maicii Domnului,lacase_cult,44.9971804,26.0017769
Biserica Sfinții Arhangheli Mihail și Gavril,lacase_cult,45.0183714,25.9453134
Mănăstirea catolică „Sfânta Familie”,lacase_cult,44.4839532,26.0440869
